                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2232,                0.64362,                 1.3548,                0.97964,                0.95633,                0.97462,                 0.6251,                 1.2928,                0.52627,                 1.5851,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.1705,                0.61262,                   1.33,                0.98087,                0.95197,                0.98547,                 0.6397,                 1.2583,                0.50931,                 1.5439,               0.001769,               0.001769,               0.001769
                     37,                 1.1818,                0.60689,                 1.3282,                0.99038,                0.94323,                0.98242,                0.61706,                 1.2652,                0.52145,                 1.5619,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.1924,                 0.6152,                 1.3164,                 0.9779,                0.96613,                 0.9749,                0.62499,                  1.292,                0.52212,                 1.6018,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.1709,                0.62531,                 1.3191,                 0.9795,                0.95633,                0.98243,                0.64089,                 1.2286,                0.49625,                 1.5361,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.1823,                 0.6135,                 1.3273,                0.97363,                0.96754,                 0.9898,                0.63129,                 1.2408,                0.50265,                 1.5458,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.1664,                0.60296,                 1.3199,                0.98201,                0.95356,                0.98347,                0.64163,                 1.2693,                0.51445,                 1.5787,               0.001736,               0.001736,               0.001736
                     42,                 1.1519,                0.57439,                 1.2923,                0.98665,                0.96811,                0.98354,                0.66629,                 1.1983,                0.49396,                 1.5029,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.1462,                0.58245,                 1.3147,                0.97241,                0.92359,                0.97942,                0.60679,                 1.3428,                0.57536,                 1.6343,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.1623,                0.61255,                 1.3187,                0.97338,                 0.9476,                 0.9827,                0.65016,                 1.2462,                0.49951,                 1.5443,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1665,                0.59282,                 1.3089,                0.98871,                0.95197,                0.98544,                0.64438,                 1.2326,                0.49558,                 1.5357,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.1531,                0.58409,                 1.3104,                0.96501,                0.96353,                0.97885,                0.63708,                 1.2345,                0.50481,                 1.5427,               0.001703,               0.001703,               0.001703
                     47,                 1.1645,                0.58999,                 1.3091,                0.98052,                0.95633,                0.97042,                0.62292,                  1.326,                0.51218,                 1.6179,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1431,                0.58463,                 1.3061,                0.97094,                0.95633,                0.98294,                0.65362,                 1.2108,                0.48548,                 1.5019,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.1425,                0.58606,                 1.2981,                0.98018,                0.96507,                0.98952,                0.64968,                 1.2225,                0.46675,                 1.5353,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.1401,                 0.5822,                 1.3008,                0.98623,                0.93814,                0.97488,                0.62589,                 1.2806,                0.53173,                  1.582,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.1339,                0.58882,                 1.2833,                0.96088,                0.96544,                0.98285,                0.63686,                 1.2444,                0.52848,                 1.5522,                0.00167,                0.00167,                0.00167
                     52,                 1.1327,                0.58415,                 1.2831,                0.96327,                 0.9607,                0.98755,                0.63512,                 1.2355,                0.52057,                 1.5662,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.1359,                0.59474,                 1.2971,                0.97287,                 0.9476,                0.97721,                0.61018,                 1.3104,                0.55204,                 1.6015,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.1399,                0.57894,                 1.2994,                0.99069,                0.92958,                0.97337,                0.63457,                 1.2596,                0.51996,                 1.5597,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.1134,                0.56214,                 1.2757,                0.97528,                0.96943,                0.98797,                0.65005,                  1.175,                0.47326,                 1.4875,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.1085,                0.56009,                 1.2754,                0.98105,                0.94323,                0.97617,                0.63807,                 1.2722,                0.48956,                 1.5743,               0.001637,               0.001637,               0.001637
                     57,                 1.1187,                0.56015,                 1.2823,                0.97336,                0.95741,                0.97376,                0.65517,                  1.217,                0.49526,                 1.5338,              0.0016304,              0.0016304,              0.0016304
                     58,                  1.112,                0.57691,                 1.2762,                 0.9639,                0.95197,                0.97655,                 0.6418,                 1.2321,                0.49435,                 1.5477,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.1085,                0.56692,                 1.2756,                0.97778,                0.96102,                0.98233,                0.64611,                 1.2575,                0.49444,                 1.5407,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.1083,                0.58294,                 1.2787,                 0.9731,                0.94769,                0.97681,                0.65957,                 1.1854,                0.48392,                 1.5061,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0511,                0.52986,                 1.2608,                0.97683,                0.95633,                0.96924,                0.65504,                 1.1858,                0.46383,                 1.4894,               0.001604,               0.001604,               0.001604
                     62,                 1.0826,                0.55261,                 1.2653,                0.98202,                0.95415,                0.97994,                0.64703,                 1.2123,                0.50637,                 1.5455,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.0808,                0.53798,                 1.2759,                0.97343,                0.93886,                0.97582,                0.63864,                 1.2441,                0.49529,                 1.5632,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0657,                0.54287,                 1.2587,                0.97792,                0.96706,                0.97701,                 0.6337,                 1.2312,                 0.4622,                  1.542,              0.0015842,              0.0015842,              0.0015842
