                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81402,                  1.978,                  1.221,                 0.3567,                0.61714,                0.34536,                0.13879,                 1.5541,                 7.4478,                 2.5504,             0.00064815,             0.00064815,             0.00064815
                      2,                0.71912,                0.95517,                 1.1415,                0.24455,                0.57714,                0.20097,                0.10821,                  1.439,                 23.356,                 2.6886,              0.0013122,              0.0013122,              0.0013122
                      3,                0.77558,                0.93725,                 1.1722,                0.06062,                0.33143,                0.05339,                0.02755,                 2.1781,                 16.731,                 3.1049,              0.0019736,              0.0019736,              0.0019736
                      4,                0.74652,                0.83581,                  1.157,                0.23913,                0.37714,                0.14495,                0.07224,                 1.6818,                 21.072,                 2.4876,              0.0019881,              0.0019881,              0.0019881
                      5,                0.73569,                0.84123,                 1.1537,                0.60876,                0.49714,                0.48321,                0.30795,                 1.3751,                 2.1278,                 1.9495,              0.0019842,              0.0019842,              0.0019842
                      6,                0.69537,                0.78339,                 1.1344,                0.51295,                0.50857,                0.44018,                0.25492,                 1.4394,                 2.9389,                 1.9449,              0.0019802,              0.0019802,              0.0019802
                      7,                0.65638,                0.67928,                 1.0808,                0.77287,                0.53714,                0.61596,                0.42491,                 1.1091,                 1.6985,                 1.6124,              0.0019762,              0.0019762,              0.0019762
                      8,                 0.6151,                0.65712,                 1.0804,                0.63507,                0.69714,                0.70673,                0.50477,                0.91692,                 1.2338,                 1.4408,              0.0019723,              0.0019723,              0.0019723
                      9,                0.58874,                0.64044,                 1.0755,                0.86746,                0.65143,                0.75875,                0.55039,                 1.0745,                 1.5447,                 1.5182,              0.0019683,              0.0019683,              0.0019683
                     10,                0.62738,                0.67967,                 1.0904,                0.78965,                0.68643,                 0.7427,                0.53109,                0.99539,                 1.1726,                 1.5645,              0.0019644,              0.0019644,              0.0019644
                     11,                 0.6075,                0.67731,                 1.0712,                0.84911,                0.73962,                0.81125,                0.59929,                0.90834,                0.99739,                 1.4236,              0.0019604,              0.0019604,              0.0019604
                     12,                0.62469,                0.65893,                 1.0854,                0.81854,                0.65143,                 0.7658,                0.57588,                0.94316,                 1.1013,                 1.3996,              0.0019564,              0.0019564,              0.0019564
                     13,                 0.5757,                 0.6398,                  1.063,                0.87737,                   0.72,                  0.813,                 0.6317,                0.88602,                 1.1461,                 1.3933,              0.0019525,              0.0019525,              0.0019525
                     14,                 0.5829,                0.63381,                 1.0597,                0.85497,                0.74286,                0.83323,                0.63121,                0.88863,                0.84568,                  1.355,              0.0019485,              0.0019485,              0.0019485
                     15,                0.57047,                0.59567,                 1.0617,                0.88572,                0.66434,                0.82954,                0.62768,                0.86388,                0.84497,                 1.3314,              0.0019446,              0.0019446,              0.0019446
                     16,                0.51838,                0.53824,                 1.0215,                0.84826,                0.86286,                0.88644,                0.69318,                0.75307,                0.73717,                 1.2509,              0.0019406,              0.0019406,              0.0019406
