                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89386,                 2.0528,                 1.2541,                 0.7275,                0.63264,                0.68759,                0.42857,                 1.2296,                 2.1882,                 1.5423,             0.00064912,             0.00064912,             0.00064912
                      2,                0.76091,                 1.0103,                 1.1418,                0.02833,                 0.2891,                0.01625,                 0.0063,                 2.1304,                 27.963,                 3.2698,              0.0013129,              0.0013129,              0.0013129
                      3,                0.87076,                0.96376,                 1.2167,                0.03361,                0.07583,                0.01088,                0.00486,                 3.3275,                 50.502,                 8.8822,              0.0019737,              0.0019737,              0.0019737
                      4,                 0.9287,                   0.98,                 1.2191,                0.21721,                0.25592,                0.16083,                0.06681,                 2.2977,                 4.3325,                 2.9358,              0.0019868,              0.0019868,              0.0019868
                      5,                0.80231,                0.85988,                 1.1566,                 0.3012,                0.32701,                0.20622,                0.07865,                 2.3023,                 5.0029,                 2.7307,              0.0019824,              0.0019824,              0.0019824
                      6,                0.76345,                 0.7708,                 1.1335,                0.76896,                0.63095,                0.73347,                0.42368,                  1.295,                  2.625,                  1.677,               0.001978,               0.001978,               0.001978
                      7,                0.76268,                0.76594,                 1.1206,                0.64984,                0.66351,                0.68734,                0.37749,                 1.4088,                 2.0465,                 1.7234,              0.0019736,              0.0019736,              0.0019736
                      8,                0.72921,                0.76714,                 1.1141,                0.77315,                0.74882,                0.76129,                0.46513,                 1.2712,                  1.403,                 1.6762,              0.0019692,              0.0019692,              0.0019692
                      9,                0.69486,                0.72205,                 1.1169,                0.75114,                 0.5782,                0.68463,                 0.4553,                 1.4031,                 1.4441,                 1.7117,              0.0019648,              0.0019648,              0.0019648
                     10,                0.67124,                0.68189,                 1.0963,                0.72227,                0.67773,                0.67723,                0.45414,                 1.0994,                 1.3312,                 1.4122,              0.0019604,              0.0019604,              0.0019604
                     11,                0.71828,                0.68645,                 1.1045,                 0.7957,                0.70145,                0.79097,                0.57609,                 1.0293,                 1.0526,                 1.3507,               0.001956,               0.001956,               0.001956
                     12,                0.65865,                0.64436,                 1.0731,                0.88883,                 0.7957,                0.87835,                0.62198,                 1.0418,                0.80691,                  1.405,              0.0019516,              0.0019516,              0.0019516
                     13,                 0.7052,                0.67695,                 1.0868,                0.86471,                0.66642,                0.77719,                0.55887,                 1.1051,                 1.1052,                 1.4059,              0.0019472,              0.0019472,              0.0019472
                     14,                0.65692,                0.66291,                 1.0729,                0.82712,                0.79621,                0.84678,                0.57615,                 1.1069,                0.97765,                 1.4462,              0.0019428,              0.0019428,              0.0019428
                     15,                0.62988,                0.61008,                 1.0521,                0.80337,                0.79147,                0.84121,                0.59501,                 1.0347,                0.86916,                 1.4345,              0.0019384,              0.0019384,              0.0019384
