                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8772,                  6.231,                 2.2685,                0.55459,                0.49706,                0.51937,                0.28103,                 1.3231,                 10.327,                  2.014,             0.00014544,             0.00014544,             0.00014544
                      2,                 1.2654,                 2.2461,                 1.5938,                0.64447,                0.82687,                0.95052,                0.56093,                  1.264,                 4.9387,                 1.9581,             0.00029938,             0.00029938,             0.00029938
                      3,                 1.2716,                 1.6124,                 1.5555,                0.79155,                0.58243,                0.80761,                0.38758,                 1.7515,                 2.1581,                 2.6486,              0.0004527,              0.0004527,              0.0004527
                      4,                 1.2478,                 1.3484,                 1.5537,                 0.7461,                0.66491,                0.88731,                0.52404,                 1.4978,                 1.8399,                 2.2569,             0.00060541,             0.00060541,             0.00060541
                      5,                 1.2945,                 1.2525,                  1.571,                0.68365,                0.80057,                0.88881,                0.42674,                 1.7057,                 1.7488,                 2.5811,             0.00075751,             0.00075751,             0.00075751
                      6,                 1.2707,                 1.2066,                   1.56,                0.83123,                0.75419,                0.79832,                 0.4656,                 1.5931,                  1.839,                 2.5691,                 0.0009,                 0.0009,                 0.0009
                      7,                 1.2608,                 1.1037,                 1.5247,                0.70493,                0.88112,                0.92803,                0.49084,                 1.7446,                 1.4041,                 2.7642,              0.0008982,              0.0008982,              0.0008982
                      8,                 1.2515,                 1.0893,                 1.5635,                0.91182,                0.68666,                0.86703,                0.50746,                 1.4456,                 1.3623,                 2.1904,              0.0008964,              0.0008964,              0.0008964
                      9,                 1.2563,                  1.108,                 1.5444,                0.58915,                 0.8744,                0.83747,                0.43444,                 1.5878,                 1.9578,                 2.3558,              0.0008946,              0.0008946,              0.0008946
                     10,                 1.1939,                 1.0571,                 1.5136,                0.78659,                 0.4944,                0.67925,                0.37868,                 1.6657,                 2.0922,                 2.3916,              0.0008928,              0.0008928,              0.0008928
                     11,                 1.1572,                 0.9761,                 1.4571,                0.91223,                0.89313,                0.96738,                0.57316,                 1.4678,                 1.0113,                 2.2666,               0.000891,               0.000891,               0.000891
                     12,                 1.2512,                0.97773,                 1.5364,                0.71051,                0.86523,                0.85462,                0.50404,                 1.4852,                 1.3128,                 2.1982,              0.0008892,              0.0008892,              0.0008892
                     13,                 1.1635,                0.90401,                 1.4636,                0.82927,                0.75797,                0.91943,                 0.5693,                 1.3475,                 1.2076,                 1.9589,              0.0008874,              0.0008874,              0.0008874
                     14,                  1.149,                0.85815,                 1.4403,                0.82871,                0.94394,                0.97687,                0.60862,                 1.3962,                0.95549,                 2.0642,              0.0008856,              0.0008856,              0.0008856
                     15,                 1.1885,                0.88336,                 1.4811,                0.89808,                0.93036,                0.97724,                0.59351,                 1.3654,                0.83606,                 1.9965,              0.0008838,              0.0008838,              0.0008838
                     16,                 1.1998,                0.84562,                  1.466,                  0.935,                0.89565,                0.95264,                 0.5782,                 1.3175,                0.86523,                 1.9298,               0.000882,               0.000882,               0.000882
                     17,                 1.1527,                0.80443,                 1.4431,                0.92208,                0.86007,                0.97674,                0.62514,                 1.2876,                0.80455,                 1.9421,              0.0008802,              0.0008802,              0.0008802
                     18,                 1.1594,                  0.821,                 1.4571,                0.91803,                0.75724,                  0.995,                0.62806,                 1.3623,                 1.0337,                 1.9406,              0.0008784,              0.0008784,              0.0008784
                     19,                 1.1661,                0.79496,                  1.448,                 0.9665,                0.93753,                0.98344,                0.64257,                 1.3414,                0.71206,                 1.9193,              0.0008766,              0.0008766,              0.0008766
                     20,                 1.1482,                0.86922,                 1.4751,                0.86457,                0.93315,                0.98189,                0.65787,                 1.3253,                 0.7361,                 1.8776,              0.0008748,              0.0008748,              0.0008748
                     21,                 1.1363,                0.83973,                 1.4342,                 0.9339,                0.98184,                 0.9842,                0.63958,                 1.4262,                0.76895,                 1.9922,               0.000873,               0.000873,               0.000873
                     22,                 1.0776,                0.73441,                 1.4094,                0.88559,                      1,                0.99337,                0.63982,                 1.3309,                 0.7937,                 1.9042,              0.0008712,              0.0008712,              0.0008712
                     23,                 1.1154,                0.75617,                  1.397,                0.95805,                0.99397,                  0.995,                0.63108,                 1.3282,                0.67673,                 1.9527,              0.0008694,              0.0008694,              0.0008694
                     24,                 1.1191,                0.73851,                 1.4212,                0.96296,                0.98469,                0.99119,                0.60295,                 1.4738,                0.67584,                 2.1595,              0.0008676,              0.0008676,              0.0008676
                     25,                 1.1157,                0.74358,                 1.4065,                0.97586,                0.99252,                  0.995,                0.66247,                 1.3617,                0.65434,                 1.9566,              0.0008658,              0.0008658,              0.0008658
                     26,                 1.1347,                0.78222,                 1.4408,                0.95722,                0.98812,                  0.995,                0.62394,                 1.3602,                0.66363,                 1.9277,               0.000864,               0.000864,               0.000864
                     27,                 1.1839,                0.82355,                 1.4594,                0.80727,                0.92494,                0.94993,                0.53744,                 1.5737,                 0.8945,                 2.2268,              0.0008622,              0.0008622,              0.0008622
                     28,                  1.118,                0.73914,                 1.4347,                0.96158,                0.98949,                  0.995,                0.66217,                  1.326,                0.61351,                 1.8977,              0.0008604,              0.0008604,              0.0008604
                     29,                 1.0974,                0.74987,                 1.4301,                0.98516,                      1,                  0.995,                0.62817,                 1.3486,                0.64394,                  1.949,             0.00085861,             0.00085861,             0.00085861
                     30,                  1.096,                0.77998,                 1.4325,                0.95868,                 0.9881,                0.98539,                0.65235,                 1.3749,                0.67282,                 1.9636,             0.00085681,             0.00085681,             0.00085681
                     31,                  1.087,                0.69737,                 1.3782,                0.97271,                      1,                  0.995,                 0.6383,                 1.3631,                0.59507,                 1.9328,             0.00085501,             0.00085501,             0.00085501
                     32,                 1.0828,                0.70588,                 1.4057,                0.96881,                      1,                  0.995,                0.62757,                 1.3743,                0.62504,                 1.9356,             0.00085321,             0.00085321,             0.00085321
                     33,                 1.0883,                0.75123,                 1.3925,                0.96013,                0.99154,                  0.995,                0.63077,                 1.3809,                0.55752,                  1.984,             0.00085141,             0.00085141,             0.00085141
                     34,                 1.1193,                0.71263,                 1.3921,                0.85168,                0.93152,                0.94415,                0.54538,                  1.514,                0.91241,                 2.3148,             0.00084961,             0.00084961,             0.00084961
                     35,                 1.0582,                0.71522,                 1.3725,                 0.9176,                 0.9974,                0.99043,                0.64618,                 1.3917,                0.61826,                 1.9904,             0.00084781,             0.00084781,             0.00084781
                     36,                 1.1087,                0.71591,                 1.4092,                0.88763,                0.99467,                0.98657,                0.65422,                 1.4038,                0.63578,                 2.0503,             0.00084601,             0.00084601,             0.00084601
                     37,                 1.0711,                0.69252,                 1.4101,                0.96199,                0.97969,                0.98528,                0.63244,                 1.3329,                0.59952,                 1.8841,             0.00084421,             0.00084421,             0.00084421
                     38,                 1.0859,                0.70032,                 1.3907,                0.97294,                 0.9881,                 0.9901,                0.65995,                 1.2338,                0.58837,                 1.7807,             0.00084241,             0.00084241,             0.00084241
                     39,                 1.0742,                0.67949,                 1.3941,                0.98221,                      1,                  0.995,                0.67475,                 1.2571,                0.52509,                 1.8412,             0.00084061,             0.00084061,             0.00084061
                     40,                 1.0693,                0.67517,                 1.3755,                 0.9656,                0.99376,                  0.995,                 0.6642,                 1.3208,                0.55025,                 1.8498,             0.00083881,             0.00083881,             0.00083881
                     41,                 1.0604,                0.69169,                 1.3903,                0.97457,                      1,                  0.995,                0.66062,                 1.3122,                0.55311,                 1.8494,             0.00083701,             0.00083701,             0.00083701
                     42,                 1.0325,                0.61208,                 1.3572,                0.91664,                      1,                0.99412,                0.64836,                 1.3722,                0.61348,                  1.993,             0.00083521,             0.00083521,             0.00083521
                     43,                 1.0335,                0.67118,                 1.3706,                0.93278,                0.99566,                0.99134,                0.65735,                 1.3529,                0.58975,                 1.9491,             0.00083341,             0.00083341,             0.00083341
                     44,                 1.0528,                0.63834,                  1.388,                 0.9762,                      1,                0.99347,                0.60754,                 1.5146,                0.61128,                 2.1508,             0.00083161,             0.00083161,             0.00083161
                     45,                 1.0903,                0.64767,                 1.3893,                0.95652,                 0.9881,                0.99043,                0.65435,                 1.3151,                0.57629,                 1.9122,             0.00082981,             0.00082981,             0.00082981
                     46,                  1.006,                0.61655,                 1.3288,                0.98452,                0.99543,                  0.995,                0.66096,                 1.3089,                0.56425,                 1.9124,             0.00082801,             0.00082801,             0.00082801
                     47,                 1.0343,                0.63331,                 1.3672,                0.97639,                 0.9881,                0.98338,                0.65827,                 1.3159,                 0.5561,                 1.8987,             0.00082621,             0.00082621,             0.00082621
                     48,                   1.04,                0.62972,                 1.3598,                0.97656,                      1,                  0.995,                0.66578,                 1.3299,                0.54454,                 1.9418,             0.00082441,             0.00082441,             0.00082441
                     49,                 1.0365,                0.69046,                 1.3738,                0.96519,                 0.9881,                0.98164,                0.65594,                 1.2838,                0.53054,                 1.8972,             0.00082261,             0.00082261,             0.00082261
                     50,                0.99925,                0.64127,                  1.345,                0.96355,                 0.9881,                0.98019,                0.67202,                 1.2319,                0.56965,                  1.797,             0.00082081,             0.00082081,             0.00082081
                     51,                 1.0096,                0.63455,                 1.3761,                0.94904,                0.98115,                0.98676,                0.67096,                 1.1917,                0.55736,                 1.7726,             0.00081901,             0.00081901,             0.00081901
                     52,                0.97756,                0.60371,                  1.318,                0.96482,                0.98228,                0.99214,                0.68316,                 1.2531,                0.55313,                 1.8181,             0.00081721,             0.00081721,             0.00081721
                     53,                 1.0418,                0.62459,                 1.3581,                0.96635,                0.99596,                  0.995,                0.66652,                 1.3415,                0.53712,                 1.8902,             0.00081541,             0.00081541,             0.00081541
                     54,                 1.0191,                 0.5897,                 1.3534,                0.98447,                      1,                  0.995,                0.67938,                 1.3301,                0.51019,                 1.9204,             0.00081361,             0.00081361,             0.00081361
