                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82411,                 2.1338,                 1.2452,                0.48116,                0.64571,                0.57326,                0.33603,                 1.2569,                 5.2474,                  2.079,             0.00064815,             0.00064815,             0.00064815
                      2,                0.70424,                 0.9705,                 1.1249,                0.29782,                 0.2036,                0.16468,                0.07119,                 2.2124,                 4.1024,                 2.9992,              0.0013122,              0.0013122,              0.0013122
                      3,                0.76497,                 0.9819,                 1.1705,                0.17227,                0.30286,                  0.102,                 0.0487,                 2.2614,                 9.0405,                 4.2674,              0.0019736,              0.0019736,              0.0019736
                      4,                0.77813,                0.86978,                 1.1717,                0.17673,                   0.48,                0.14894,                0.06031,                 1.8919,                 7.7283,                 2.8042,              0.0019881,              0.0019881,              0.0019881
                      5,                0.71255,                0.80635,                 1.1391,                0.37819,                   0.24,                0.21787,                0.12138,                 1.9968,                 3.7494,                 2.7087,              0.0019842,              0.0019842,              0.0019842
                      6,                0.68246,                0.80064,                  1.119,                0.54678,                   0.48,                0.47079,                0.24525,                 1.6349,                 2.7228,                 2.2231,              0.0019802,              0.0019802,              0.0019802
                      7,                0.64248,                0.71598,                 1.0831,                0.71528,                0.72571,                0.74797,                 0.4785,                  1.155,                  1.785,                 1.6217,              0.0019762,              0.0019762,              0.0019762
                      8,                0.60011,                0.64312,                 1.0634,                0.72778,                 0.5958,                0.67124,                0.45362,                  1.144,                 1.3853,                 1.5786,              0.0019723,              0.0019723,              0.0019723
                      9,                0.62904,                0.71786,                 1.0833,                0.56464,                0.57714,                0.59122,                 0.4281,                  1.142,                 1.5667,                 1.6298,              0.0019683,              0.0019683,              0.0019683
                     10,                0.58326,                 0.6472,                 1.0769,                0.83578,                0.69714,                0.81558,                0.56674,                 1.0756,                 1.1241,                 1.4883,              0.0019644,              0.0019644,              0.0019644
                     11,                0.60801,                0.63311,                 1.0799,                0.80444,                0.77569,                0.80958,                0.60344,                0.93583,                  1.098,                 1.4611,              0.0019604,              0.0019604,              0.0019604
                     12,                0.56033,                0.60888,                 1.0492,                0.89385,                0.77143,                0.85633,                 0.6181,                0.95097,                0.90053,                 1.4332,              0.0019564,              0.0019564,              0.0019564
                     13,                0.57256,                0.60902,                 1.0677,                0.92545,                0.63842,                0.76706,                0.55859,                 1.0046,                 1.2168,                 1.5031,              0.0019525,              0.0019525,              0.0019525
