                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45097,                0.45495,                0.98748,                0.90079,                0.85143,                0.90465,                0.74526,                0.70184,                0.64225,                 1.2064,               0.001769,               0.001769,               0.001769
                     37,                0.48577,                 0.4719,                  1.014,                0.91109,                0.85714,                0.92851,                0.76601,                0.65064,                0.61097,                 1.1568,              0.0017624,              0.0017624,              0.0017624
                     38,                0.42436,                0.43912,                0.97382,                0.89556,                0.85714,                0.91446,                0.75902,                0.63109,                0.61955,                 1.1275,              0.0017558,              0.0017558,              0.0017558
                     39,                 0.4469,                0.45097,                0.98271,                0.94343,                0.89143,                0.93847,                0.74853,                0.71303,                0.56581,                 1.1548,              0.0017492,              0.0017492,              0.0017492
                     40,                0.44232,                0.44909,                0.98186,                0.82459,                0.89714,                0.91467,                0.75401,                0.68279,                0.63676,                 1.1596,              0.0017426,              0.0017426,              0.0017426
                     41,                0.41576,                0.41429,                0.98192,                 0.9414,                0.79429,                0.90893,                0.74526,                 0.6964,                0.61476,                 1.2095,               0.001736,               0.001736,               0.001736
                     42,                0.43444,                0.45035,                0.98599,                0.88572,                0.81143,                0.88588,                0.70995,                0.70454,                  0.669,                 1.1586,              0.0017294,              0.0017294,              0.0017294
                     43,                0.44653,                0.45479,                0.97322,                0.94744,                0.82406,                0.91619,                0.75373,                0.69578,                0.55739,                 1.1872,              0.0017228,              0.0017228,              0.0017228
                     44,                0.43334,                0.44191,                0.98259,                0.90384,                0.85933,                 0.9341,                0.76439,                0.64202,                0.55049,                 1.1346,              0.0017162,              0.0017162,              0.0017162
                     45,                0.41593,                0.42334,                 0.9623,                0.92078,                0.84571,                0.91717,                0.76757,                 0.6227,                0.54654,                  1.125,              0.0017096,              0.0017096,              0.0017096
                     46,                0.41531,                0.41631,                0.97243,                0.94579,                0.79761,                0.90712,                0.74598,                0.70711,                0.62147,                 1.1878,               0.001703,               0.001703,               0.001703
                     47,                0.45109,                0.44293,                0.98428,                 0.8758,                0.89143,                0.91729,                0.77177,                0.66212,                0.56825,                 1.1442,              0.0016964,              0.0016964,              0.0016964
                     48,                0.43616,                 0.4297,                0.98082,                0.97095,                0.80571,                0.90716,                0.76001,                0.62687,                0.57796,                 1.1215,              0.0016898,              0.0016898,              0.0016898
                     49,                0.41721,                0.42682,                0.97005,                 0.8003,                0.78857,                0.83585,                 0.6807,                0.75864,                0.71236,                  1.207,              0.0016832,              0.0016832,              0.0016832
                     50,                0.44401,                0.43662,                0.99393,                0.92716,                0.82286,                 0.9249,                 0.7477,                0.67277,                0.54858,                 1.1863,              0.0016766,              0.0016766,              0.0016766
                     51,                0.42881,                0.42723,                 0.9829,                0.90338,                0.85485,                0.93614,                0.78256,                0.64068,                0.53227,                  1.117,                0.00167,                0.00167,                0.00167
                     52,                0.41664,                0.41364,                0.97487,                0.94736,                   0.88,                0.94504,                0.78484,                0.64931,                0.50976,                 1.1227,              0.0016634,              0.0016634,              0.0016634
                     53,                0.42146,                0.41983,                0.97026,                0.93926,                0.86286,                0.93766,                0.78942,                0.63451,                 0.4874,                 1.1178,              0.0016568,              0.0016568,              0.0016568
                     54,                0.41753,                0.40463,                 0.9656,                0.92414,                0.88571,                0.92536,                0.78236,                0.62759,                 0.5279,                 1.0932,              0.0016502,              0.0016502,              0.0016502
                     55,                0.43345,                0.40807,                0.97239,                0.85491,                0.92571,                0.93944,                0.79001,                0.65202,                0.52062,                 1.1462,              0.0016436,              0.0016436,              0.0016436
                     56,                0.38559,                0.38656,                0.95672,                0.92739,                0.80284,                0.90452,                0.75678,                0.67181,                0.57208,                  1.163,               0.001637,               0.001637,               0.001637
                     57,                0.41271,                0.41645,                0.96767,                0.88777,                0.88571,                0.92862,                0.79652,                0.58721,                0.49108,                 1.0827,              0.0016304,              0.0016304,              0.0016304
                     58,                0.41499,                0.40891,                0.96579,                0.90656,                0.88701,                  0.932,                0.79671,                0.57612,                0.49513,                 1.0567,              0.0016238,              0.0016238,              0.0016238
                     59,                0.43713,                0.42483,                0.97724,                0.86927,                0.87395,                0.92636,                0.78382,                0.62365,                0.53635,                 1.1028,              0.0016172,              0.0016172,              0.0016172
                     60,                0.42806,                0.42405,                0.97357,                0.91141,                0.86857,                0.93189,                0.77138,                0.65516,                 0.5202,                 1.1624,              0.0016106,              0.0016106,              0.0016106
                     61,                0.40208,                0.40359,                0.96252,                0.95329,                0.86286,                0.93129,                0.77988,                0.62228,                0.51184,                  1.156,               0.001604,               0.001604,               0.001604
                     62,                0.37049,                0.38735,                0.92881,                0.95394,                0.82838,                0.92296,                0.78154,                0.60543,                0.51601,                 1.1091,              0.0015974,              0.0015974,              0.0015974
                     63,                0.39785,                0.41196,                0.95681,                0.91631,                   0.84,                0.91945,                0.76898,                0.61764,                0.51937,                 1.1266,              0.0015908,              0.0015908,              0.0015908
                     64,                0.40508,                0.40784,                 0.9547,                0.86427,                0.86286,                0.90097,                0.75213,                0.63651,                0.54909,                 1.1244,              0.0015842,              0.0015842,              0.0015842
                     65,                0.42135,                0.40068,                0.97089,                0.94204,                0.83583,                0.91082,                0.77776,                0.56949,                0.49394,                 1.0741,              0.0015776,              0.0015776,              0.0015776
                     66,                 0.3895,                 0.3798,                0.95985,                0.90364,                0.91094,                0.93501,                0.77715,                 0.6363,                0.53381,                 1.1167,               0.001571,               0.001571,               0.001571
                     67,                0.38369,                0.38716,                0.95299,                0.85594,                0.88571,                0.90051,                0.78097,                0.57245,                0.55659,                 1.0767,              0.0015644,              0.0015644,              0.0015644
                     68,                0.39108,                0.38894,                0.96592,                0.89516,                0.87826,                0.90961,                0.77061,                0.58209,                0.55503,                  1.104,              0.0015578,              0.0015578,              0.0015578
                     69,                0.39679,                0.40517,                0.95343,                0.93704,                0.84571,                 0.9326,                0.78539,                0.59952,                0.50515,                 1.1196,              0.0015512,              0.0015512,              0.0015512
                     70,                0.38012,                0.37412,                0.95449,                0.94228,                0.84571,                0.92596,                0.81173,                0.58498,                0.51613,                  1.082,              0.0015446,              0.0015446,              0.0015446
                     71,                0.38185,                0.37033,                0.93839,                0.93434,                0.78286,                0.90073,                0.77042,                0.60555,                0.54606,                 1.1089,               0.001538,               0.001538,               0.001538
                     72,                0.38552,                0.37581,                0.95232,                0.90931,                0.85941,                 0.9176,                0.77541,                0.61181,                0.54771,                  1.111,              0.0015314,              0.0015314,              0.0015314
                     73,                0.39467,                0.37863,                0.95277,                0.91134,                   0.84,                0.90755,                0.78489,                 0.5949,                0.53552,                  1.107,              0.0015248,              0.0015248,              0.0015248
                     74,                0.38723,                0.39028,                0.95202,                0.88476,                0.83429,                0.90781,                0.76773,                 0.6381,                0.51154,                 1.1493,              0.0015182,              0.0015182,              0.0015182
                     75,                0.37837,                0.38196,                0.94872,                 0.8534,                0.88571,                0.91759,                0.79169,                0.60589,                0.52892,                 1.1141,              0.0015116,              0.0015116,              0.0015116
                     76,                0.38079,                0.39331,                0.94565,                0.88314,                0.86365,                0.92355,                0.78427,                0.61215,                0.49361,                 1.1281,               0.001505,               0.001505,               0.001505
                     77,                0.35864,                0.39187,                0.94156,                0.92232,                0.86286,                0.92531,                0.79295,                0.59789,                0.49703,                 1.1153,              0.0014984,              0.0014984,              0.0014984
                     78,                0.36087,                0.36436,                0.93331,                0.88921,                0.82556,                 0.8953,                0.76068,                0.61602,                0.53137,                 1.1257,              0.0014918,              0.0014918,              0.0014918
                     79,                0.36879,                0.36699,                0.93365,                0.94327,                 0.8552,                0.93536,                0.79612,                0.58589,                0.45766,                 1.0961,              0.0014852,              0.0014852,              0.0014852
                     80,                0.37109,                0.36427,                0.93722,                0.90105,                0.86286,                0.92747,                0.79436,                0.59412,                0.46305,                 1.1079,              0.0014786,              0.0014786,              0.0014786
                     81,                 0.3787,                0.36838,                0.95797,                0.93647,                0.86286,                0.93269,                0.80517,                 0.5772,                0.49266,                 1.0929,               0.001472,               0.001472,               0.001472
                     82,                0.36164,                0.36007,                 0.9356,                 0.9553,                0.85484,                0.92186,                0.77767,                0.64293,                0.52458,                 1.1369,              0.0014654,              0.0014654,              0.0014654
                     83,                0.37214,                0.37244,                0.94208,                0.91058,                0.86286,                0.92316,                0.79414,                0.60279,                 0.5179,                  1.106,              0.0014588,              0.0014588,              0.0014588
                     84,                0.38141,                0.36807,                  0.949,                0.92192,                0.85714,                0.91563,                0.77728,                0.59505,                0.52848,                 1.1019,              0.0014522,              0.0014522,              0.0014522
                     85,                0.37506,                0.37199,                0.94264,                0.93658,                0.84388,                0.92876,                0.78674,                0.59744,                0.48069,                 1.0953,              0.0014456,              0.0014456,              0.0014456
                     86,                0.34431,                0.32912,                0.91749,                0.96622,                0.82286,                0.93088,                0.77606,                0.63358,                 0.4899,                 1.1195,               0.001439,               0.001439,               0.001439
                     87,                0.38498,                0.39125,                0.95694,                0.87399,                0.87198,                0.92445,                0.78013,                0.58906,                0.51391,                 1.0918,              0.0014324,              0.0014324,              0.0014324
                     88,                0.36899,                0.35599,                0.94694,                0.91558,                0.89714,                0.94409,                0.79375,                0.59099,                 0.4794,                 1.0901,              0.0014258,              0.0014258,              0.0014258
                     89,                0.36028,                0.34527,                0.95053,                0.93824,                 0.8681,                0.92705,                0.77497,                0.59471,                0.50084,                 1.1136,              0.0014192,              0.0014192,              0.0014192
                     90,                0.34881,                0.35675,                0.92442,                0.89147,                0.84485,                0.90589,                0.77404,                0.56889,                0.53707,                 1.0815,              0.0014126,              0.0014126,              0.0014126
